[6, 10, 20, 30, 40, 50, 60, 80]
[240, 352, 656, 848, 1136, 1248, 1360, 1888]
[2231.4777730282162, 3574.1732722563474, 8063.487475393548, 11279.027064921958, 16472.55002283769, 18765.499328282844, 21234.20170161234, 31046.94174422352]
[0.9157617440639568, 0.8601978542624424, 0.7045796890489783, 0.5640977208536568, 0.41788348926807256, 0.3069021060121572, 0.22693062935635103, 0.08714634773008435]
[1, 1, 1, 1, 1, 1, 1, 1]
[0.9416228069143759, 0.9046104802746175, 0.8183201210226742, 0.7402609576967045, 0.6696478204705641, 0.6057704364907279, 0.5479862854900421, 0.4484282034609771]
[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
[0.9801888648295349, 0.9704309672630861, 0.9417362622231686, 0.9111511025165906, 0.8771602801771059, 0.8589229565610532, 0.8318592181943687, 0.7810441642583172]
[0.9921920969546855, 0.9798781942531417, 0.9142765823917376, 0.8363327338097832, 0.7114261016960723, 0.5898445672606226, 0.4978214374714018, 0.24881736100536214]
[15, 22, 41, 53, 71, 78, 85, 118]
[160, 288, 528, 656, 848, 1024, 1040, 1360]
[841.0210769731161, 2036.3343274946453, 4017.2483395618983, 5487.63620458208, 7968.5553969888515, 10212.966756217282, 11083.373272527104, 15249.382150558382]
[0.9111640889163602, 0.8474400743400002, 0.6964637962949894, 0.5637154325607368, 0.43348094297171824, 0.32365246896840766, 0.25005600552141277, 0.12344441373343565]
[1, 1, 1, 1, 1, 1, 1, 1]
[0.941622806914376, 0.9046104802746174, 0.8183201210226742, 0.7402609576967043, 0.669647820470564, 0.6057704364907279, 0.547986285490042, 0.44842820346097706]
[0.9850934380853521, 0.9752793831785673, 0.9511698752531667, 0.9276563692349434, 0.9047241315891249, 0.8823587930030066, 0.8605463393821575, 0.818525754279696]
[0.9860906369990012, 0.9752977125970468, 0.9502544225688347, 0.9277086733900015, 0.9047921471137098, 0.8806777104745719, 0.8615048875706077, 0.8178301806491579]
[0.9961514342616716, 0.9848750447498338, 0.941623588094594, 0.8848636036374037, 0.7907852367518451, 0.6875568720501627, 0.6155106795411674, 0.4112283432020932]
[10, 18, 33, 41, 53, 64, 65, 85]
