[1, 2, 3, 4]
[10, 20, 40, 60, 80]
[928, 2736, 5984, 9728, 11472]
[11785.389654928706, 45237.28854339047, 109289.31143178044, 177482.79854983647, 237112.0143928256]
[0.7412524210842747, 0.4220723185347812, 0.1423131939010256, 0.05452581967001722, 0.009419366111480754]
[1, 1, 1, 1, 1]
[0.8307187014821328, 0.6118738784280481, 0.33195389135223624, 0.18373897616330592, 0.10170090558064028]
[1.0, 1.0, 1.0, 1.0, 1.0]
[0.9314288037569909, 0.8096885832327122, 0.6471238084182779, 0.5069516085956254, 0.35897147818971226]
[0.9579933033251602, 0.8519359427036276, 0.6624910617009309, 0.5853753162507865, 0.2580102228728844]
[58, 171, 374, 608, 717]
[10, 20, 40, 60, 80]
[528, 1408, 3312, 4896, 5712]
[7604.234808855456, 23420.48104773607, 64593.739170409266, 97381.89376456324, 124879.99957760495]
[0.7305279102201414, 0.4793319638563915, 0.1620949830124459, 0.06608467152464527, 0.016836761489727427]
[1, 1, 1, 1, 1]
[0.818320121022674, 0.6305556603555869, 0.3319538913522363, 0.18559023879528858, 0.10170090558064016]
[1.0, 1.0, 1.0, 1.0, 1.0]
[0.9203129279589389, 0.8310273589761742, 0.6343035511776773, 0.5177156014229376, 0.398335642234494]
[0.9700141297066105, 0.9147399361070644, 0.7698297074779129, 0.6877876168984949, 0.41560864413012283]
[33, 58, 177, 276, 327]
[10, 20, 40, 60, 80]
[432, 1168, 2832, 3392, 6528]
[6521.014300744929, 20727.782614510346, 54053.4721430124, 72345.23875834787, 126701.58384391731]
[0.7334823627649717, 0.44935931725566564, 0.18211650520406988, 0.06406251135054004, 0.03138241661733188]
[1, 1, 1, 1, 1]
[0.818320121022674, 0.6057704364907278, 0.33195389135223596, 0.18190617987607638, 0.10272559337455137]
[1.0, 1.0, 1.0, 1.0, 1.0]
[0.9203129279589389, 0.8072619457390755, 0.6471238084182774, 0.5177156014229385, 0.40598023592265897]
[0.9739371293263915, 0.9189062302430403, 0.8477819489443562, 0.6802448358007358, 0.7524936395595723]
[27, 73, 177, 212, 408]
[10, 20, 40, 60, 80]
[352, 1072, 1808, 2784, 4416]
[5481.6627620270265, 18253.14044985604, 37335.77550749418, 59322.82497203079, 92314.29213610604]
[0.741434314518983, 0.47884820666975936, 0.17857106943238993, 0.07059801188287179, 0.02948639099253508]
[1, 1, 1, 1, 1]
[0.8183201210226748, 0.6118738784280476, 0.33195389135223563, 0.18559023879528846, 0.10170090558064054]
[1.0, 1.0, 1.0, 1.0, 1.0]
[0.9221563184394991, 0.8277082323811447, 0.6615255725344743, 0.5197916513571054, 0.40234099503661247]
[0.982527932157375, 0.9454937829225201, 0.8131800176900448, 0.7318263468057954, 0.7206136997451903]
[22, 67, 113, 174, 276]
